benchmark,run,result
quadratic,baseline,785
quadratic,valnum-dce,680
quadratic,cc-valnum-dce,680
primes-between,baseline,574100
primes-between,valnum-dce,569441
primes-between,cc-valnum-dce,569441
orders,baseline,5352
orders,valnum-dce,5352
orders,cc-valnum-dce,5352
sum-check,baseline,5018
sum-check,valnum-dce,5018
sum-check,cc-valnum-dce,5018
palindrome,baseline,298
palindrome,valnum-dce,295
palindrome,cc-valnum-dce,295
totient,baseline,253
totient,valnum-dce,250
totient,cc-valnum-dce,250
relative-primes,baseline,1923
relative-primes,valnum-dce,1891
relative-primes,cc-valnum-dce,1891
hanoi,baseline,99
hanoi,valnum-dce,99
hanoi,cc-valnum-dce,99
is-decreasing,baseline,127
is-decreasing,valnum-dce,112
is-decreasing,cc-valnum-dce,112
check-primes,baseline,8468
check-primes,valnum-dce,5911
check-primes,cc-valnum-dce,5911
sum-sq-diff,baseline,3038
sum-sq-diff,valnum-dce,2127
sum-sq-diff,cc-valnum-dce,2127
fitsinside,baseline,10
fitsinside,valnum-dce,10
fitsinside,cc-valnum-dce,10
fact,baseline,229
fact,valnum-dce,208
fact,cc-valnum-dce,208
loopfact,baseline,116
loopfact,valnum-dce,88
loopfact,cc-valnum-dce,88
recfact,baseline,104
recfact,valnum-dce,81
recfact,cc-valnum-dce,81
factors,baseline,72
factors,valnum-dce,72
factors,cc-valnum-dce,72
perfect,baseline,232
perfect,valnum-dce,231
perfect,cc-valnum-dce,231
bitshift,baseline,167
bitshift,valnum-dce,147
bitshift,cc-valnum-dce,147
digital-root,baseline,247
digital-root,valnum-dce,247
digital-root,cc-valnum-dce,247
up-arrow,baseline,252
up-arrow,valnum-dce,252
up-arrow,cc-valnum-dce,252
sum-divisors,baseline,159
sum-divisors,valnum-dce,159
sum-divisors,cc-valnum-dce,159
ackermann,baseline,1464231
ackermann,valnum-dce,1464231
ackermann,cc-valnum-dce,1464231
pythagorean_triple,baseline,61518
pythagorean_triple,valnum-dce,61518
pythagorean_triple,cc-valnum-dce,61518
euclid,baseline,563
euclid,valnum-dce,395
euclid,cc-valnum-dce,394
binary-fmt,baseline,100
binary-fmt,valnum-dce,100
binary-fmt,cc-valnum-dce,100
lcm,baseline,2326
lcm,valnum-dce,2326
lcm,cc-valnum-dce,2326
gcd,baseline,46
gcd,valnum-dce,46
gcd,cc-valnum-dce,46
catalan,baseline,659378
catalan,valnum-dce,659378
catalan,cc-valnum-dce,659378
armstrong,baseline,133
armstrong,valnum-dce,130
armstrong,cc-valnum-dce,130
pascals-row,baseline,146
pascals-row,valnum-dce,90
pascals-row,cc-valnum-dce,90
collatz,baseline,169
collatz,valnum-dce,169
collatz,cc-valnum-dce,169
sum-bits,baseline,73
sum-bits,valnum-dce,73
sum-bits,cc-valnum-dce,73
rectangles-area-difference,baseline,14
rectangles-area-difference,valnum-dce,14
rectangles-area-difference,cc-valnum-dce,14
mod_inv,baseline,558
mod_inv,valnum-dce,453
mod_inv,cc-valnum-dce,452
reverse,baseline,46
reverse,valnum-dce,45
reverse,cc-valnum-dce,45
fizz-buzz,baseline,3652
fizz-buzz,valnum-dce,2157
fizz-buzz,cc-valnum-dce,2157
bitwise-ops,baseline,1690
bitwise-ops,valnum-dce,1688
bitwise-ops,cc-valnum-dce,1688
